Filename,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,Average
CF1.jpg,3,4,4,5,4,3,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,3,4,5,5,5,5,2,3,3,4,4,4,4,5,3,4,4,3,4,4,4,5,5,4,5,4,4,4,5,4,5,4,4,5,3,5,5,3,5,4.116666666666666
CF10.jpg,3,5,4,5,3,3,5,3,3,4,3,3,3,3,3,4,4,4,3,4,3,3,3,5,5,4,5,4,4,4,4,4,3,3,3,3,5,3,4,3,4,3,3,5,4,4,2,3,4,3,3,4,3,4,3,2,3,3,3,3,3.55
CF100.jpg,1,3,1,1,2,1,3,3,1,3,2,2,3,2,2,3,3,3,2,3,1,2,2,3,1,2,3,2,2,1,3,2,3,2,2,2,3,2,2,2,3,3,3,2,2,1,1,1,2,2,2,3,3,2,2,2,1,2,2,3,2.1333333333333333
CF101.jpg,2,3,2,1,3,2,3,3,2,3,3,2,3,3,2,1,3,2,3,3,3,3,3,2,3,3,3,2,2,1,2,3,3,2,1,3,3,2,3,3,3,2,3,3,3,3,2,3,3,1,2,3,3,2,2,3,2,2,2,3,2.4833333333333334
CF102.jpg,3,4,2,5,4,2,3,3,2,4,3,3,3,3,3,5,4,4,3,4,1,2,2,3,4,3,3,3,3,2,4,3,4,2,4,4,4,3,3,3,4,3,3,4,3,4,3,5,3,3,3,4,4,4,3,3,3,3,4,5,3.3
CF103.jpg,2,3,2,3,3,2,3,3,1,2,3,2,3,2,2,3,4,3,2,3,1,3,2,3,3,1,3,2,2,2,3,3,3,1,2,3,3,2,3,3,2,4,3,3,2,3,2,4,3,3,2,4,3,3,2,3,3,2,3,3,2.6
CF104.jpg,3,3,3,1,3,3,3,3,2,3,3,2,3,2,3,4,3,2,2,3,1,3,2,2,4,4,3,2,2,3,3,2,3,2,4,2,3,2,3,3,3,3,3,2,2,2,2,1,3,1,2,3,3,3,2,2,3,2,2,2,2.55
CF105.jpg,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,4,3,3,3,3,2,3,3,3,3,1,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,2.75
CF106.jpg,3,3,4,4,4,2,3,4,2,3,3,2,3,2,3,3,4,2,2,3,3,3,3,3,4,3,3,2,3,3,4,3,3,1,3,3,3,2,3,3,3,3,2,4,2,3,2,2,2,3,2,4,3,3,3,3,4,3,3,3,2.9
CF107.jpg,3,4,4,5,5,3,4,4,3,4,3,3,4,4,4,5,5,3,4,4,3,3,4,4,4,5,5,3,4,4,4,3,4,2,2,4,4,3,3,3,4,4,3,5,3,5,4,5,5,4,3,4,4,4,4,3,4,3,4,5,3.816666666666667
CF108.jpg,2,3,2,1,2,2,3,3,1,3,3,2,3,2,2,1,3,2,2,2,2,2,1,3,3,2,3,2,2,2,3,1,3,1,1,2,3,1,2,2,2,2,3,2,3,2,2,2,1,2,1,2,3,2,2,2,3,2,1,2,2.1
CF109.jpg,2,3,3,1,2,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,2,3,1,3,3,2,3,2,2,2,2,3,2,1,2,1,3,2,3,3,3,2,3,3,2,2,2,4,2,1,2,2,3,3,2,2,2,1,3,2,2.316666666666667
CF11.jpg,4,5,5,5,5,4,4,5,4,4,4,4,4,5,2,5,5,5,4,4,5,4,4,5,5,5,5,4,4,4,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,4,2,4,5,5,4,4,5,4,5,4,5,5,4,5,4.366666666666666
CF110.jpg,1,3,3,1,2,2,4,3,1,3,3,2,3,3,2,4,3,3,3,3,3,2,2,3,3,3,4,2,2,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,3,2,4,3,3,3,3,3,2,2,3,2.65
CF111.jpg,2,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,4,3,4,4,4,3,3,2,3,3,3,3,3,2.9833333333333334
CF112.jpg,2,3,3,4,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,4,3,3,2,2,3,2,2,3,2,1,3,3,3,2,3,3,3,3,3,2,4,3,5,2,1,2,3,3,3,3,2,4,3,3,3,2.783333333333333
CF113.jpg,1,3,3,3,4,3,3,3,2,3,3,2,3,3,2,3,3,4,3,3,3,3,3,4,5,3,3,2,2,3,3,2,3,3,1,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,4,2,3,3,3,3,4,2.85
CF114.jpg,2,3,2,1,3,2,3,3,1,3,3,2,2,2,2,2,3,2,3,1,2,3,1,3,3,2,3,2,2,2,4,1,3,1,1,1,3,2,3,2,3,1,3,3,3,4,2,1,1,1,1,3,2,2,2,2,3,3,2,2,2.216666666666667
CF115.jpg,2,3,3,1,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,3,1,3,2,3,3,3,4,2,3,4,3,3,3,1,3,2,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,4,3,3,2,3,4,3,3,3,2.7333333333333334
CF116.jpg,2,3,4,3,3,2,3,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,3,2,3,3,4,3,2,1,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,2,3,2.8833333333333333
CF117.jpg,1,3,1,1,2,2,3,3,1,3,3,2,3,2,2,1,3,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,3,2,3,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,1,3,2,2,2,1.9833333333333334
CF118.jpg,1,2,1,1,2,1,3,3,2,2,3,2,3,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,3,1,3,2,3,2,3,3,2,1,2,2,2,2,2,2,1,3,3,2,1,2,1.8833333333333333
CF119.jpg,3,3,2,1,3,1,3,3,2,3,3,2,3,2,2,4,3,4,3,2,3,2,3,3,3,2,3,2,2,3,2,2,3,1,4,2,3,2,3,1,3,2,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,2,2,2,2.55
CF12.jpg,3,4,5,5,4,4,4,4,4,3,4,3,3,3,3,5,5,5,4,4,4,3,5,5,5,4,5,3,3,4,4,5,4,4,4,5,4,3,4,5,4,2,3,5,4,4,4,5,5,5,4,4,5,5,3,4,5,3,4,5,4.083333333333333
CF120.jpg,2,3,2,5,2,1,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,2,2,3,3,2,3,1,1,3,3,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,3,3,2,3,3,2,2,3,2.55
CF121.jpg,1,3,4,2,2,1,3,3,1,3,3,2,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,1,3,1,2,2,1,2,3,2,3,2,2,2,1,3,2,3,2,1,1,1,2,2,2,2,2,1,3,2,2,1,2.066666666666667
CF122.jpg,3,4,3,2,4,3,3,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,4,2,3,3,4,3,3,3,3,2,2,4,3,3,2,4,4,3,3,4,4,3,2,3,3,3,3,4,3.15
CF123.jpg,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,2.683333333333333
CF124.jpg,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,3,3,3,4,3,2,3,3,4,3,3,2,3,3,2,3,3,3,3,3,4,3,4,3,3,3,3,2,4,3,3,3,1,4,3,3,3,3.0
CF125.jpg,4,4,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,3,3,4,5,5,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,3,4,4,5,4,5,3,5,5,5,3,3,4,3,3,3,3.7666666666666666
CF126.jpg,3,3,3,1,3,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,2,2,2,2,3,3,3,1,3,3,2,3,3,3,3,3,4,2,3,2,5,3,3,3,3,3,3,3,3,3,3,3,3,2.816666666666667
CF127.jpg,2,4,4,1,4,3,4,3,2,3,3,2,3,3,1,3,3,3,2,3,3,3,2,4,4,2,4,2,2,4,2,2,3,1,3,3,4,2,2,2,3,3,3,3,4,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,2.8
CF128.jpg,2,3,3,1,4,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,4,3,2,1,3,2,3,3,3,3,1,3,3,2,3,3,2.7333333333333334
CF129.jpg,1,2,2,1,2,1,3,3,2,1,2,2,3,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,3,1,1,1,1.6333333333333333
CF13.jpg,4,4,3,5,4,4,5,4,4,5,3,3,4,5,3,5,5,5,4,4,4,3,4,5,5,5,5,4,5,5,4,5,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,4,5,3,4,3,3,5,4,4,5,4.2
CF130.jpg,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,5,3,3,2,2,3,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2.966666666666667
