Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,60 (1),66 (0),1 (0),7 (5),11 (6),9 (5),14 (3),19 (5),17 (3)
compas,Reweighing: race,61 (1),66 (0),1 (0),19 (4),22 (5),22 (3),3 (10),4 (11),2 (10)
compas,Reweighing-Multiple,60 (1),66 (1),2 (0),3 (3),3 (5),7 (3),5 (4),9 (6),8 (4)
compas,Fair-SMOTE: sex,61 (2),65 (1),579 (82),6 (7),4 (7),3 (7),5 (10),9 (10),7 (10)
compas,Fair-SMOTE: race,62 (1),65 (1),395 (64),20 (6),21 (9),23 (4),6 (6),3 (5),4 (6)
compas,Fair-SMOTE-Multiple,62 (1),65 (1),400 (54),4 (10),4 (8),3 (9),3 (5),3 (7),2 (5)
compas,AdversialDebiasing: sex,61 (2),66 (1),226 (20),27 (11),33 (15),29 (9),19 (5),24 (7),21 (5)
compas,AdversialDebiasing: race,60 (2),66 (1),221 (19),14 (9),19 (10),17 (8),12 (8),15 (8),14 (8)
compas,RejectOptionClassification: sex,62 (2),66 (1),1029 (66),3 (9),8 (15),4 (7),19 (4),22 (4),21 (4)
compas,RejectOptionClassification: race,62 (2),66 (0),1058 (43),22 (3),23 (7),25 (2),2 (5),4 (10),2 (5)
compas,FERMI30K,62 (1),65 (0),53 (5),2 (3),3 (6),5 (3),6 (3),4 (4),4 (4)
compas,FERMI10K,62 (1),65 (1),51 (2),4 (4),5 (7),8 (4),5 (5),3 (6),3 (4)
compas,FairBalance,60 (2),66 (1),2 (0),4 (5),5 (6),8 (5),6 (10),7 (11),6 (10)
compas,FairBalanceClass,62 (1),65 (1),2 (0),3 (5),3 (5),2 (5),3 (3),2 (5),2 (3)
adult,Reweighing: sex,49 (0),78 (0),14 (0),1 (1),2 (3),6 (0),14 (9),21 (17),12 (4)
adult,Reweighing: race,49 (1),80 (0),16 (1),28 (0),46 (0),21 (0),0 (1),1 (3),4 (0)
adult,Reweighing-Multiple,50 (7),78 (0),24 (1),1 (5),3 (9),6 (1),2 (4),4 (7),3 (3)
adult,Fair-SMOTE: sex,54 (0),69 (2),7710 (2871),1 (1),2 (1),9 (1),26 (4),26 (5),28 (5)
adult,Fair-SMOTE: race,57 (0),72 (0),8863 (1507),32 (1),35 (2),37 (0),2 (2),1 (3),8 (2)
adult,Fair-SMOTE-Multiple,55 (0),72 (1),6002 (83),9 (6),10 (6),17 (6),8 (6),8 (7),13 (5)
adult,AdversialDebiasing: sex,50 (0),79 (0),1445 (33),3 (2),5 (4),8 (1),14 (3),21 (4),13 (2)
adult,AdversialDebiasing: race,48 (1),80 (0),1445 (31),29 (0),46 (1),22 (0),2 (4),3 (6),3 (3)
adult,RejectOptionClassification: sex,53 (0),70 (1),5954 (242),4 (4),3 (4),4 (4),17 (2),17 (5),21 (1)
adult,RejectOptionClassification: race,57 (0),71 (0),5666 (52),34 (0),37 (2),39 (1),2 (2),3 (2),3 (3)
adult,FERMI30K,51 (0),64 (1),1264 (23),3 (4),3 (4),3 (4),7 (4),8 (4),3 (4)
adult,FERMI10K,55 (0),69 (0),63 (0),26 (1),26 (2),33 (1),9 (3),6 (3),15 (2)
adult,FairBalance,50 (1),78 (0),19 (0),1 (7),2 (12),6 (3),0 (1),1 (3),4 (1)
adult,FairBalanceClass,54 (1),73 (1),18 (0),1 (5),2 (5),8 (4),1 (1),1 (2),6 (2)
german,Reweighing: sex,12 (12),69 (3),0 (0),6 (11),7 (14),5 (10),20 (24),20 (29),20 (23)
german,Reweighing: age,4 (6),69 (2),0 (0),1 (3),3 (4),1 (3),1 (2),2 (4),0 (1)
german,Reweighing-Multiple,2 (5),69 (2),0 (0),0 (1),0 (0),0 (0),0 (1),1 (3),0 (1)
german,Fair-SMOTE: sex,50 (5),62 (2),103 (25),5 (9),6 (13),5 (8),14 (11),13 (16),18 (10)
german,Fair-SMOTE: age,50 (5),60 (3),123 (24),5 (8),6 (12),4 (10),8 (12),8 (15),10 (13)
german,Fair-SMOTE-Multiple,49 (5),61 (3),121 (5),5 (7),7 (10),6 (10),10 (13),11 (18),11 (13)
german,AdversialDebiasing: sex,28 (19),68 (8),67 (1),33 (80),48 (107),31 (66),23 (35),29 (54),22 (30)
german,AdversialDebiasing: age,35 (14),63 (34),68 (0),20 (38),25 (49),18 (37),73 (144),77 (148),73 (143)
german,RejectOptionClassification: sex,53 (4),60 (2),272 (10),3 (6),4 (10),6 (6),16 (14),14 (16),22 (9)
german,RejectOptionClassification: age,49 (4),58 (4),268 (3),7 (9),5 (8),8 (7),6 (9),6 (11),8 (12)
german,FERMI30K,0 (0),69 (2),32 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,FERMI10K,0 (0),69 (3),31 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
german,FairBalance,4 (7),70 (2),0 (0),0 (1),0 (2),0 (1),0 (2),1 (5),0 (1)
german,FairBalanceClass,50 (4),59 (3),0 (0),3 (7),5 (10),4 (7),6 (8),6 (13),10 (9)
